Hyponym;Hypernym
Copper-red;Red
Jacinthinous;Brown
Crocean;Yellow
Mole;Brown
Brown-red;Red
Sherry-red;Red
Greenery;Green
Yellowy;Yellow
Phoenicean;Red
Pearl-hued;White
Evergreen;Green
Straw;Yellow
Sable-coloured;Black
Inred;Red
Wax-coloured;White
Mouse-colour;Brown
Tomabac-brown;Brown
Seaweed-green;Green
Lazuline;Blue
Purple-coloured;Purple
Peony;Pink
Saffron-hued;Yellow
Candid;White
Chlorophyllian;Green
Mango;Yellow
Ceruleated;Blue
Gules;Red
Topazine;Yellow
Snowish;White
Sallowish;Yellow
Crimson;Red
Plumbagoed;Blue
Smoked;Brown
Elephant;Gray
Cigar-brown;Brown
Chestnutty;Brown
Green;Green
White;White
Sapphire-hued;Blue
Aureate;Yellow
Topaz-tinted;Yellow
Rosen;Red
Alabaster;White
Orange;Orange
Blonde;Yellow
Orient;Yellow
Buttercup;Yellow
Flaxed;Yellow
Meliboean;Brown
Gangrenous;Green
Chestnut-brown;Brown
Red-yellow;Red
Honey-coloured;Yellow
Smutting;Brown
Gosling-colour;Green
Canary;Yellow
Lilac-grey;Purple
Kennet-colour;Green
Rosed;Pink
Argent;White
Oranged;Orange
Whitish;White
Red;Red
Punicean;Red
Azure;Blue
Roseate;Pink
Ferruginous;Red
Lizard-green;Green
Blattean;Yellow
Blue-violet;Purple
Azurean;Blue
Horse-flesh;Brown
Blue;Blue
Spadiceous;Red
Mauve;Purple
Petunia;Purple
Sepian;Brown
Navy;Blue
Rubescent;Red
Wan;Yellow
Atred;Red
Nigrine;Black
Glawke;Blue
Chalkish;Gray
Mauvish;Purple
Blush-rose;Pink
Brickdust-like;Red
Lime-green;Green
Magnolia;White
Ceruleous;Blue
Empurpled;Purple
Citrine;Yellow
Ivory-white;White
Vermeil;Red
Sooty;Black
Mud-coloured;Brown
Sapphire;Blue
Swan-white;White
Vermilioned;Red
Silvern;White
Naturelle;Green
Roseac;Pink
Snow-white;White
Crimsoned;Red
Comumbine;Red
Plummy;Purple
Lazure;Blue
Russet;Brown
Babylonian;Brown
Scorched;Red
Blackening;Black
Nut-brown;Brown
Fire-red;Red
Caesious;Yellow
Deaurated;Yellow
Saffronish;Yellow
Bay;Brown
Eburnine;White
Citron;Yellow
Pearl;White
Fuliginous;Gray
Blake;Black
Redward;Red
Blush-coloured;Pink
Daffodil;Yellow
Turd-coloured;Brown
Creamy;White
Blue-brilliant;Blue
Grysande;Gray
Flame-coloured;Red
Scarlet-vermilion;Red
Alabastrine;White
Pink-coloured;Pink
Reddening;Red
Flesh-red;Red
Lead-blue;Blue
Aeruginous;Blue
Rose-coloured;Pink
Skyey;Blue
Hazeled;Green
Livid;Blue
Cerulous;Blue
Blanch;White
Liver-hued;Brown
Bronze-golden;Yellow
Moleskin-coloured;Brown
Flavid;Yellow
Whale-blue;Blue
Brick-red;Red
Smalt;Blue
Sheep-hued;Brown
Fulvid;Yellow
Pearlish;White
Bead-brown;Brown
Verdant;Green
Prune-dark;Brown
Coppery;Brown
Dove-colour;Gray
Carmined;Red
Brown-gold;Brown
Flavous;Yellow
Marbly;White
Leeky;Green
Sanguinolent;Red
Sky-coloured;Blue
Incarnadine;Red
Neger;Black
Slaty;Blue
Ebon;Black
Porraceous;Brown
Flame;Red
Framboise;Red
Brassy;Yellow
Blushy;Pink
Twig-green;Green
Beech-green;Green
Sulphurous;Yellow
Watchet-coloured;Blue
Coal-black;Black
Avocado;Green
Poppy-coloured;Red
Cinereal;Gray
Ultramarinish;Blue
Grison;Gray
Pearled;White
Gilden;Yellow
Claret;Red
Bluish-brown;Brown
Sabelline;Green
Citron-coloured;Yellow
Slate-coloured;Gray
Forest-green;Green
Perse;Purple
Cerulescent;Blue
Aureoline;Yellow
Roset;Pink
Glass;Green
Willowish;Green
Stony;Brown
Vermilion-coloured;Red
Wine-dark;Red
Gold;Yellow
Chalybeous;Brown
Verdazurine;Blue
Blue-purple;Purple
Snow;White
Crimsony;Red
Bay-coloured;Brown
Ruddled;Red
Virescent;Green
Olive;Green
Mourning;Black
Rush;Red
Lividous;Blue
Azurine;Blue
Toffee;Brown
Umbered;Brown
Dory;Green
Greensome;Green
Saffron;Yellow
Tuscan;Brown
Jaundiced;Yellow
Burnet;Red
Salmon;Pink
Atramentitious;Black
Brown-coloured;Brown
Flaw;Gray
Chromy;Brown
Lily-yellow;Yellow
Lily-like;White
Purpurean;Purple
Brown-bay;Brown
Jacobean;Brown
Brazil;Brown
Subcitrine;Yellow
Empurpling;Red
Beryl-blue;Blue
Milk;White
Purple;Purple
Croceate;Yellow
Coralline;Red
Magenta;Purple
Oily-brown;Brown
Grassy;Green
Wainscot;Brown
Hoar;Gray
Lavender;Purple
Nude;Brown
Damasked;Red
Stone;Brown
Cinnabar;Red
Mahogany;Brown
Marble;White
Dove-coloured;Gray
Sage;Green
Grizzlish;Gray
Violacean;Purple
Roan;Brown
Blewebis;Brown
Chrysoprase;Green
Pavonaceous;Green
Sanguine;Red
Meline;Brown
Lobster-red;Red
Red-gold;Red
Mouse-coloured;Brown
Ochre-coloured;Yellow
Flavescent;Yellow
Oxblood;Red
Orange-tawny;Orange
Blue-white;Blue
Blo;Red
Indigo;Blue
Forest-brown;Brown
Incrimsoned;Red
Beige;Brown
Lemon-yellow;Yellow
Rubent;Red
Grey;Gray
Persimmon;Orange
Inde;Green
Spun-golden;Yellow
Plum;Purple
Turner;Yellow
Angered;Red
Blushing;Pink
Fox-coloured;Brown
Carneous;Brown
Hepatic;Brown
Cottonous;White
Ochry;Yellow
Vitelline;Yellow
Viricund;Green
Subcineritious;Brown
Raven-black;Black
Citron-hued;Yellow
Flavicant;Yellow
Sapphire-coloured;Blue
Torrid;Red
Quaker-coloured;Brown
Pinkified;Pink
Blacky;Black
Purplish;Purple
Fusco-piceous;Black
Embrowned;Brown
Blush;Pink
Fallow;Yellow
Ultramarine;Blue
Black;Black
Rutilous;Red
Mustardy;Yellow
Nankeen;Yellow
Cardinal;Red
Lead-coloured;Gray
Silver-like;White
Chestnut;Brown
Orange-brown;Orange
Amethystine;Purple
Rosy;Pink
Collied;Brown
Ochrous;Yellow
Steel-grey;Gray
Lily-white;White
Scorn-gold;Yellow
Iron-grey;Gray
Grey-blue;Blue
Ruby;Red
Rosing;Pink
Bayish;Brown
Orange-yellow;Yellow
Incanescent;Red
Pinkish;Pink
Plum-coloured;Purple
Mustard;Yellow
Cinereous;Gray
Eburnean;White
Phoeniceous;Red
Mazarine;Blue
Lilac;Purple
