Hyponym;Hypernym
"""Father,” said the boy with the straw-colored hair.";yellow
;
 It was merely a blur of color. ;multicolor
;
it was pulling him onward in a howl of wind and swirling color;multicolor
;
it was speeding him away in a whirl of wind and color;multicolor
;
into the scalp and turning the color of straw. ;yellow
;
There were angry blotches of color in ;red
;
winning House’s colors for the Leaving Feast. ;multicolor
;
its flower beds a riot of color, when;multicolor
;
jewel-bright colors in the darkness ;multicolor
;
straw- colored hair winked;yellow
;
the exact color and texture of the kitchen unit behind ;multicolor
;
flesh-colored string. ;pink
;
flesh-colored string descended in front ;pink
;
said Mrs. Weasley, the color rising in her cheeks.;red
;
they’re double-ended, color-coded chews.;multicolor
;
wearing plum-colored robes with an elaborately ;purple
;
on a pair of pajamas in the West Ham colors;blue
;
on a pair of pajamas in the West Ham colors;red
;
the haze of multicolored steam now filling the dungeon;multicolor
;
over Hagrid’s discolored and swollen face;white
;
around him shimmering in strange, vibrant colors...;white
;
forward in a swirl of colors and a rush of wind, the ;multicolor
;
The little color remaining in Sirius’s face drained from it.;white
;
looked like a tangle of flesh-colored string. ;pink
;
The flesh-colored strings wriggled like long skinny;pink
;
moving color illustrations of all the counterjinxes;multicolor
;
but stared at his own feet, the color deepening in his face all the while. ;red
;
variously colored potions.;multicolor
;
it flashed a different color according to its subject.;multicolor
;
close-growing hair the color of bracken;brown
;
ver the plunging, many-colored backs and heads of ;multicolor
;
A roar of approval met these words and a dun-colored ;brown
;
his dull sludge-colored eyes narrowed as he squinted ;brown
;
over him and began spinning their long, colored tentacles;multicolor
;
flying forward in a whirlwind of color and sound;multicolor
;
honey-colored liquid into each of the glasses;brown
;
a box bearing a highly colored picture;multicolor
;
fleshcolored strings and began to feed them ;pink
;
look of a demented, multicolored owl.;multicolor
;
Harry through her enormous colored spectacles.;multicolor
;
one nearest a gold-colored cauldron that was emitting;yellow
;
resembled the “smooth, black currant-colored liquid;purple
;
Slughorn with thick, shiny, straw-colored hair quite;yellow
;
usual, her mouse-colored hair lank.;brown
;
thick, shiny, straw-colored;yellow
;
his gingery-blond ;red
;
mustache,;
;
were suspended in colored potions ;multicolor
;
Tonks’s Patronus and her mouse- ;brown
;
colored hair;
;
bow set atop her iron-colored curls;gray
;
